Index,Date,Country,Keyword,yachtingpages.com_rank,yatchingpages.com_cleaned_rank,yachting-pages.com_visibility,yachting-pages.com_type,yachting-pages.com_landing,yachting-pages.com_rank_difference,yatching-pages.com_cleaned_rank_difference,yachting-pages.com_visibility_difference,superyachttimes.com_rank,superyachttimes.com_rank_cleaned,superyachttimes.com_visibility,superyachttimes.com_type,superyachttimes.com_landing,superyachttimes.com_rank_difference,superyachttimes.com_cleaned_rank_difference,superyachttimes.com_visibility_difference,superyachtcontent.com_rank,superyachtcontent.com_cleaned_rank,superyachtcontent.com_visibility,superyachtcontent.com_type,superyachtcontent.com_landing,superyachtcontent.com_rank_difference,superyachtcontent.com_cleaned_rank_difference,superyachtcontent.com_visibility_difference,superyachtservicesguide.com_rank,superyachtserviceguide.com_cleaned_rank,superyachtservicesguide.com_visibility,superyachtservicesguide.com_type,superyachtservicesguide.com_landing,superyachtservicesguide.com_rank_difference,superyachtserviceguide.com_cleaned_rank_difference,superyachtservicesguide.com_visibility_difference,boatinternational.com_rank,boatinternation.com_cleaned_rank,boatinternational.com_visibility,boatinternational.com_type,boatinternational.com_landing,boatinternational.com_rank_difference,boatinternation.com_cleaned_rank_difference,boatinternational.com_visibility_difference,Intents,primary intent,secondary intent,CPC,Search Volume,Keyword Difficulty,Difficulty Tier
1,2025-08-31 00:00:00,France,superyacht cleaning,1,1,0.45662,organic,https://www.yachting-pages.com/articles/six-steps-to-super-interior-yacht-detailing.html,0,0,0,96,96,0.00063,organic,https://www.superyachttimes.com/yacht-news/sail-cleaning-for-superyachts-classics-and-swans,-35,-35,-0.00439,6,6,0.05143,organic,https://www.superyachtcontent.com/the-crew-mess/superyacht-housekeeping-tips-the-dos-and-donts-for-junior-yacht-stews/,9,9,0.03575,18,18,0.01418,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=2258&category=2275,10,10,0.00339,9,9,0.03763,organic,https://www.boatinternational.com/luxury-yacht-life/lifestyle/essential-cleaning-supplies-equipment-for-superyachts--44047,-2,-2,-0.01004,i,i,,,0,15,Easy
2,2025-08-31 00:00:00,France,superyacht water treatment,1,1,0.45662,organic,"https://www.yachting-pages.com/water-treatment/st-victor,antibes,les-marines-de-cogolin,gassin,la-garde,cap-dantibes,le-muy,les-issambres,st-remy-de-provence",0,0,0,31,31,0.01004,organic,https://www.superyachttimes.com/yacht-news/where-does-the-waste-go,25,25,0.00439,,150,0,,,,0,0,18,18,0.01418,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=567,8,8,0.00289,16,16,0.01505,organic,https://www.boatinternational.com/boat-presents/ballast-water-for-superyachts,-9,-9,-0.03262,i,i,,,0,12,Easy
3,2025-08-31 00:00:00,France,yacht agent,1,1,0.45662,organic,https://www.yachting-pages.com/listing/yacht-agents,1,1,0.29981,,150,0,,,,0,0,,150,0,,,-20,-20,-0.00263,6,6,0.05143,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=26&category=83,4,4,0.02383,54,54,0.0059,organic,https://www.boatinternational.com/boat-presents/global-network-yacht-agents,42,42,0.00527,i|c,i,c,1.35,20,42,Medium
4,2025-08-31 00:00:00,France,yacht crew accommodation,1,1,0.45662,organic,https://www.yachting-pages.com/articles/crew-housing-and-accommodation-in-the-superyacht-industry.html,0,0,0,,150,0,,,,0,0,,150,0,,,,0,0,10,10,0.0276,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=516,-1,-1,-0.01004,,150,0,,,-57,-57,-0.00728,i,i,,,10,18,Easy
5,2025-08-31 00:00:00,France,yacht electrical engineering,1,1,0.45662,organic,https://www.yachting-pages.com/listing/electrical-engineers,0,0,0,,150,0,,,,0,0,,150,0,,,,0,0,,150,0,,,,0,0,,150,0,,,,0,0,i|t,i,t,,0,14,Easy
6,2025-08-31 00:00:00,France,yacht furnishing,1,1,0.45662,organic,https://www.yachting-pages.com/listing/furniture-furnishings,0,0,0,,150,0,,,,0,0,,150,0,,,,0,0,,150,0,,,,0,0,34,34,0.00928,organic,https://www.boatinternational.com/luxury-yacht-life/interiors/contemporary-furnishings-for-your-superyacht--29845,-17,-17,-0.00527,i,i,,,0,13,Easy
7,2025-08-31 00:00:00,France,yachting pages,1,1,0.45662,site links,https://www.yachting-pages.com/,0,0,0,88,88,0.00163,organic,https://www.superyachttimes.com/,-5,-5,-0.00063,,150,0,,,,0,0,18,18,0.01418,organic,https://www.superyachtservicesguide.com/,0,0,0,38,38,0.00828,organic,https://www.boatinternational.com/,21,21,0.00301,n,n,,,70,12,Easy
8,2025-08-31 00:00:00,France,superyacht rigging,2,2,0.15681,organic,https://www.yachting-pages.com/articles/a-guide-to-superyacht-rigging.html,-1,'-1,-0.29981,56,56,0.00565,organic,https://www.superyachttimes.com/companies/marine-results,-12,-12,-0.00151,,150,0,,,,0,0,6,6,0.05143,organic,https://www.superyachtservicesguide.com/20/16035/yacht-rigging,4,4,0.02383,11,11,0.02509,organic,https://www.boatinternational.com/yachts/yacht-design/life-under-sail-guide-rigging,0,0,0,i|c,i,c,,0,12,Easy
9,2025-08-31 00:00:00,France,yacht carpenter,2,2,0.15681,organic,https://www.yachting-pages.com/listing/carpenters-joiners,0,0,0,,150,0,,,,0,0,,150,0,,,,0,0,17,17,0.01455,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=89,-3,-3,-0.00176,92,92,0.00113,organic,https://www.boatinternational.com/luxury-yacht-life/owners-experiences/thibaud-epstein-kudanil-explorer-superyacht-adventure,8,8,0.00113,i,i,,,0,20,Easy
10,2025-08-31 00:00:00,France,yacht joinery,2,2,0.15681,organic,https://www.yachting-pages.com/listing/carpenters-joiners,4,4,0.10537,,150,0,,,,0,0,,150,0,,,,0,0,18,18,0.01418,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=89,27,27,0.00715,,150,0,,,,0,0,i,i,,,0,14,Easy
11,2025-08-31 00:00:00,France,yacht laundry,2,2,0.15681,organic,https://www.yachting-pages.com/listing/laverie-du-port-cannes.html,0,0,0,,150,0,,,-28,-28,-0.00364,,150,0,,,,0,0,6,6,0.05143,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=26&category=1865,8,8,0.03512,9,9,0.03763,organic,https://www.boatinternational.com/yachts/the-superyacht-directory/dirty-laundry--14930,-1,-1,-0.00627,i,i,,,10,19,Easy
12,2025-08-31 00:00:00,France,yacht toiletries,2,2,0.15681,organic,"https://www.yachting-pages.com/toiletries/antibes,golfe-juan,les-marines-de-cogolin,gassin,st-remy-de-provence",2,2,0.0577,,150,0,,,,0,0,46,46,0.0069,organic,https://www.superyachtcontent.com/miscellaneous/the-top-friendly-eco-products-to-have-on-board/,54,54,0.0069,,150,0,,,,0,0,,150,0,,,,0,0,i,i,,,10,8,Easy
13,2025-08-31 00:00:00,France,superyacht bathroom,3,3,0.11917,organic,https://www.yachting-pages.com/articles/four-of-our-favourite-superyacht-bathrooms.html,-1,'-1,-0.03763,21,21,0.01254,organic,https://www.superyachttimes.com/,48,48,0.00853,48,48,0.00665,organic,https://www.superyachtcontent.com/superyacht-crew-lifestyle/an-average-day-in-the-life-of-a-yachtie/,3,3,0.00038,,150,0,,,,0,0,2,2,0.15681,organic,https://www.boatinternational.com/yachts/yacht-design/of-the-best-superyacht-bathrooms--27561,1,1,0.03763,i,i,,,0,16,Easy
14,2025-08-31 00:00:00,France,superyacht chandlery,3,3,0.11917,organic,https://www.yachting-pages.com/listing/chandlers,0,0,0,13,13,0.01756,organic,https://www.superyachttimes.com/companies/yacht-chandlers,-2,-2,-0.00753,,150,0,,,,0,0,8,8,0.04391,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=245&category=73,-2,-2,-0.00753,,150,0,,,,0,0,i,i,,,20,34,Medium
15,2025-08-31 00:00:00,France,superyacht concierge,3,3,0.11917,organic,https://www.yachting-pages.com/listing/concierge-services,-2,'-2,-0.33745,20,20,0.01317,organic,https://www.superyachttimes.com/companies/paradise-yacht-concierge,9,9,0.00263,92,92,0.00113,organic,https://www.superyachtcontent.com/superyacht-news/crew-concierge-launch-onshore-recruitment-with-shoreside/,-34,-34,-0.00427,4,4,0.0991,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=245&category=83,8,8,0.08029,98,98,0.00038,organic,https://www.boatinternational.com/boat-pro/news/acquera-club-ceo-interview-yacht-owners-club,-37,-37,-0.00464,i|c,i,c,,0,8,Easy
16,2025-08-31 00:00:00,France,superyacht engine,3,3,0.11917,organic,https://www.yachting-pages.com/articles/a-basic-overview-of-yacht-engines.html,-1,'-1,-0.03763,26,26,0.01129,organic,https://www.superyachttimes.com/,-5,-5,-0.00125,81,81,0.00251,organic,https://www.superyachtcontent.com/superyacht-crew-lifestyle/yachts-and-fuel-how-much-do-they-really-consume/,6,6,0.00075,,150,0,,,,0,0,2,2,0.15681,organic,https://www.boatinternational.com/yachts/luxury-yacht-advice/superyacht-propulsion-systems-explained-diesel-hybrid,1,1,0.03763,i|c,i,c,,10,26,Medium
17,2025-08-31 00:00:00,France,superyacht lighting,3,3,0.11917,organic,https://www.yachting-pages.com/articles/yacht-light-technology-uses-on-board.html,2,2,0.04265,8,8,0.04391,organic,https://www.superyachttimes.com/yacht-news/lightgraphix-lighting-for-superyachts,0,0,0,15,15,0.01568,organic,https://www.superyachtcontent.com/superyacht-news/superyacht-lighting-design-creating-ambiance/,-1,-1,-0.00063,,150,0,,,,0,0,21,21,0.01254,organic,https://www.boatinternational.com/yachts/yacht-design/superyacht-lighting-as-an-art-form--2033,0,0,0,i|c,i,c,,0,13,Easy
18,2025-08-31 00:00:00,France,superyacht provisioning,3,3,0.11917,organic,https://www.yachting-pages.com/listing/provisioning/france-monaco,1,1,0.02007,32,32,0.00978,organic,https://www.superyachttimes.com/yacht-news/we-supply-yachts-expands-provisions,-8,-8,-0.00201,40,40,0.00778,organic,https://www.superyachtcontent.com/the-crew-mess/redefining-the-superyacht-provisioner/,60,60,0.00778,7,7,0.04767,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=26&category=231,7,7,0.03136,78,78,0.00289,organic,https://www.boatinternational.com/boat-presents/superyacht-bar-luxury-drinks-provisioning-wine-whiskey-club,22,22,0.00289,i,i,,,20,22,Medium
19,2025-08-31 00:00:00,France,superyacht wrapping,3,3,0.11917,organic,"https://www.yachting-pages.com/painting-coating-wrapping/cannes-la-bocca,valbonne,villefranche-sur-mer,la-seyne-sur-mer,frejus,cogolin,nice,mandelieu-la-napoule,le-cannet",0,0,0,,150,0,,,-18,-18,-0.00238,,150,0,,,,0,0,57,57,0.00552,organic,https://www.superyachtservicesguide.com/20/20725/marine-shrink-wrapping,-4,-4,-0.0005,8,8,0.04391,organic,https://www.boatinternational.com/yachts/yacht-design/superyacht-vinyl-wrapping,-3,-3,-0.03262,i,i,,,0,20,Easy
20,2025-08-31 00:00:00,France,yacht marble polishing,3,3,0.11917,organic,https://www.yachting-pages.com/listing/mer.html,0,0,0,,150,0,,,,0,0,,150,0,,,,0,0,56,56,0.00565,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=1778,-31,-31,-0.0059,,150,0,,,-9,-9,-0.00125,i|c,i,c,,0,6,Easy
21,2025-08-31 00:00:00,France,yacht sewage treatment,3,3,0.11917,organic,https://www.yachting-pages.com/listing/yss-yacht-sewage-solutions.html,0,0,0,34,34,0.00928,organic,https://www.superyachttimes.com/yacht-news/where-does-the-waste-go,10,10,0.00213,,150,0,,,,0,0,,150,0,,,,0,0,,150,0,,,,0,0,i|c,i,c,,0,14,Easy
22,2025-08-31 00:00:00,France,mega yacht berth,4,4,0.0991,organic,https://www.yachting-pages.com/listing/ports-and-marinas,2,2,0.04767,30,30,0.01029,organic,https://www.superyachttimes.com/yacht-news/rare-50-metre-superyacht-berth-for-sale-in-cap-d-ail,39,39,0.00627,,150,0,,,,0,0,39,39,0.00803,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=1206&category=56,14,14,0.00201,66,66,0.00439,organic,https://www.boatinternational.com/boat-presents/habacoa-north-america-largest-superyacht-marina,-26,-26,-0.00339,i|c,i,c,,0,28,Medium
23,2025-08-31 00:00:00,France,superyacht directory,4,4,0.0991,organic,https://www.yachting-pages.com/,-1,'-1,-0.02007,2,2,0.15681,organic,https://www.superyachttimes.com/yachts,0,0,0,,150,0,,,,0,0,5,5,0.07652,site links,https://www.superyachtservicesguide.com/,0,0,0,1,1,0.45662,site links,https://www.boatinternational.com/yachts/the-superyacht-directory,0,0,0,i,i,,,20,50,Medium
24,2025-08-31 00:00:00,France,superyacht fuel,4,4,0.0991,organic,"https://www.yachting-pages.com/fuel-bunkering-additives/st-jean-cap-ferrat,avignon,antibes,golfe-juan,les-marines-de-cogolin,gassin,saint-jean-cap-ferrat,st-remy-de-provence",0,0,0,12,12,0.01882,organic,https://www.superyachttimes.com/yacht-news/lurssen-fuel-cell-yacht-project-cosmos-launch,29,29,0.01129,3,3,0.11917,organic,https://www.superyachtcontent.com/the-crew-mess/superyacht-fuel-the-fuel-superyacht-use/,-1,-1,-0.03763,9,9,0.03763,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=1303,3,3,0.01882,13,13,0.01756,organic,https://www.boatinternational.com/yachts/news/feadship-project-821-fuel-cell--yacht-sea-trials,-3,-3,-0.01004,i|c,i,c,,10,14,Easy
25,2025-08-31 00:00:00,France,superyacht furniture,4,4,0.0991,organic,https://www.yachting-pages.com/listing/furniture-furnishings,2,2,0.04767,15,15,0.01568,organic,https://www.superyachttimes.com/yacht-news/lotus-woodworks-yacht-tables,43,43,0.01029,,150,0,,,,0,0,,150,0,,,,0,0,2,2,0.15681,organic,https://www.boatinternational.com/luxury-yacht-life/interiors/directory,0,0,0,i,i,,,10,19,Easy
26,2025-08-31 00:00:00,France,superyacht vsat,4,4,0.0991,organic,https://www.yachting-pages.com/articles/the-dos-and-donts-of-vsat-on-board-yachts.html,2,2,0.04767,6,6,0.05143,organic,https://www.superyachttimes.com/companies/omniaccess,-1,-1,-0.02509,,150,0,,,,0,0,14,14,0.01631,organic,https://www.superyachtservicesguide.com/20/22591/yachtsat,2,2,0.00125,53,53,0.00602,organic,https://www.boatinternational.com/boat-presents/inmarsat-superyacht-connectivity-survey,-8,-8,-0.001,i|c,i,c,0.64,0,16,Easy
27,2025-08-31 00:00:00,France,yacht awnings,4,4,0.0991,organic,https://www.yachting-pages.com/listing/awnings-canopies-covers/antibes,0,0,0,28,28,0.01079,organic,https://www.superyachttimes.com/yacht-news/product-of-the-week-beekmans-retractable-awning-side-arm,9,9,0.00226,36,36,0.00878,organic,https://www.superyachtcontent.com/the-crew-mess/elite-yacht-covers-improving-yacht-awnings-using-cad-form-finding-design/,-9,-9,-0.00226,92,92,0.00113,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=2258&category=837,8,8,0.00113,,150,0,,,,0,0,i,i,,,0,10,Easy
28,2025-08-31 00:00:00,France,yacht hvac,4,4,0.0991,organic,"https://www.yachting-pages.com/hvac-refrigeration/villeneuve-loubet,st-laurent-du-var,la-ciotat,port-grimaud,sanary-sur-mer,ramatuelle,les-thuiles,la-colle-sur-loup,roquebrune-cap-martin,flayosc,grimaud,la-martre,port-de-bouc,cavalaire,signes",-2,'-2,-0.0577,5,5,0.07652,organic,https://www.superyachttimes.com/yacht-news/heinen-and-hopman-on-yachting-hvac,4,4,0.03889,,150,0,,,,0,0,,150,0,,,,0,0,,150,0,,,,0,0,i,i,,,10,14,Easy
29,2025-08-31 00:00:00,France,yacht laundry services,4,4,0.0991,organic,https://www.yachting-pages.com/listing/laverie-du-port-cannes.html,0,0,0,,150,0,,,-33,-33,-0.00427,,150,0,,,,0,0,2,2,0.15681,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=26&category=1865,0,0,0,,150,0,,,,0,0,i,i,,,10,16,Easy
30,2025-08-31 00:00:00,France,yacht provisioner,4,4,0.0991,organic,https://www.yachting-pages.com/listing/provisioning/france-monaco,-1,'-1,-0.02007,,150,0,,,,0,0,,150,0,,,,0,0,19,19,0.0138,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=26&category=231,-4,-4,-0.00188,,150,0,,,,0,0,i|c,i,c,1.43,0,17,Easy
31,2025-08-31 00:00:00,France,yacht provisioning,4,4,0.0991,organic,https://www.yachting-pages.com/listing/provisioning/france-monaco,-1,'-1,-0.02007,,150,0,,,-3,-3,-0.0005,,150,0,,,,0,0,14,14,0.01631,organic,https://www.superyachtservicesguide.com/20/9119/directory?location=60&category=231,1,1,0.00063,89,89,0.00151,organic,https://www.boatinternational.com/boat-presents/suntex-marinas-new-las-olas-superyacht-marina-fort-lauderdale,11,11,0.00151,i|c,i,c,1.43,20,34,Medium
